model,kfold,data,RMSE,Recall,NDCG
IPNN,3,yelp,1.0467,0.7012,0.9657
IPNN,4,yelp,1.0394,0.6976,0.9638
OPNN,0,yelp,1.034,0.6638,0.9649
OPNN,1,yelp,1.0293,0.6846,0.965
OPNN,2,yelp,1.0543,0.7229,0.9643
OPNN,3,yelp,1.0364,0.6925,0.9645
OPNN,4,yelp,1.0406,0.7027,0.9641
CCPM,0,yelp,1.0338,0.699,0.965
CCPM,1,yelp,1.0304,0.676,0.9652
CCPM,2,yelp,1.0368,0.6708,0.9644
CCPM,3,yelp,1.041,0.703,0.9643
CCPM,4,yelp,1.0389,0.6492,0.9648
WD,0,yelp,1.0387,0.7062,0.9649
WD,1,yelp,1.0389,0.6811,0.965
WD,2,yelp,1.0394,0.7102,0.9637
WD,3,yelp,1.0357,0.6823,0.9658
WD,4,yelp,1.0387,0.695,0.9644
DC,0,yelp,1.04,0.7223,0.964
DC,1,yelp,1.03,0.6751,0.9653
DC,2,yelp,1.0391,0.6993,0.9647
DC,3,yelp,1.0345,0.6636,0.9653
DC,4,yelp,1.0344,0.6633,0.9643
NFM,0,yelp,1.0399,0.7126,0.9652
NFM,1,yelp,1.0343,0.7221,0.9654
NFM,2,yelp,1.042,0.6839,0.9645
NFM,3,yelp,1.0451,0.6796,0.9658
NFM,4,yelp,1.0437,0.7255,0.9638
deepFM,0,yelp,1.0351,0.667,0.9646
deepFM,1,yelp,1.028,0.706,0.9658
deepFM,2,yelp,1.0422,0.6584,0.9645
deepFM,3,yelp,1.031,0.7047,0.9655
deepFM,4,yelp,1.0339,0.6977,0.9652
AFM,0,yelp,1.0416,0.6884,0.9652
AFM,1,yelp,1.0368,0.6747,0.9657
AFM,2,yelp,1.0465,0.6523,0.9646
AFM,3,yelp,1.037,0.6507,0.9654
AFM,4,yelp,1.0426,0.6864,0.9642
xDeepFM,0,yelp,1.0332,0.6953,0.9644
xDeepFM,1,yelp,1.0286,0.6891,0.9655
xDeepFM,2,yelp,1.0371,0.6856,0.9643
xDeepFM,3,yelp,1.0392,0.6719,0.9654
xDeepFM,4,yelp,1.0362,0.6852,0.9646
